# MOE 《重編國語辭典修訂本》 government-sourced four-character phrase lexicon. See README.md.
波浪週期	ㄅㄛ ㄌㄤˋ ㄓㄡ ㄑㄧˊ
波浪銳度	ㄅㄛ ㄌㄤˋ ㄖㄨㄟˋ ㄉㄨˋ
波浪阻力	ㄅㄛ ㄌㄤˋ ㄗㄨˇ ㄌㄧˋ
波路壯闊	ㄅㄛ ㄌㄨˋ ㄓㄨㄤˋ ㄎㄨㄛˋ
波羅的海	ㄅㄛ ㄌㄨㄛˊ ㄉㄧˋ ㄏㄞˇ
波詭雲譎	ㄅㄛ ㄍㄨㄟˇ ㄩㄣˊ ㄐㄩㄝˊ
波光蕩漾	ㄅㄛ ㄍㄨㄤ ㄉㄤˋ ㄧㄤˋ
波光瀲灩	ㄅㄛ ㄍㄨㄤ ㄌㄧㄢˋ ㄧㄢˋ
波光粼粼	ㄅㄛ ㄍㄨㄤ ㄌㄧㄣˊ ㄌㄧㄣˊ
波光閃閃	ㄅㄛ ㄍㄨㄤ ㄕㄢˇ ㄕㄢˇ
波開浪裂	ㄅㄛ ㄎㄞ ㄌㄤˋ ㄌㄧㄝˋ
波河平原	ㄅㄛ ㄏㄜˊ ㄆㄧㄥˊ ㄩㄢˊ
波及無辜	ㄅㄛ ㄐㄧˊ ㄨˊ ㄍㄨ
波譎雲詭	ㄅㄛ ㄐㄩㄝˊ ㄩㄣˊ ㄍㄨㄟˇ
波希米亞	ㄅㄛ ㄒㄧ ㄇㄧˇ ㄧㄚˋ
波希戰爭	ㄅㄛ ㄒㄧ ㄓㄢˋ ㄓㄥ
波磔點畫	ㄅㄛ ㄓㄜˊ ㄉㄧㄢˇ ㄏㄨㄚˋ
波士尼亞	ㄅㄛ ㄕˋ ㄋㄧˊ ㄧㄚˋ
波斯地毯	ㄅㄛ ㄙ ㄉㄧˋ ㄊㄢˇ
波斯帝國	ㄅㄛ ㄙ ㄉㄧˋ ㄍㄨㄛˊ
波爾卡舞	ㄅㄛ ㄦˇ ㄎㄚˇ ㄨˇ
波紋如縠	ㄅㄛ ㄨㄣˊ ㄖㄨˊ ㄏㄨˊ
波涌雲亂	ㄅㄛ ㄩㄥˇ ㄩㄣˊ ㄌㄨㄢˋ
剝皮剔骨	ㄅㄛ ㄆㄧˊ ㄊㄧ ㄍㄨˇ
剝皮抽筋	ㄅㄛ ㄆㄧˊ ㄔㄡ ㄐㄧㄣ
剝皮剉骨	ㄅㄛ ㄆㄧˊ ㄘㄨㄛˋ ㄍㄨˇ
剝膚椎髓	ㄅㄛ ㄈㄨ ㄓㄨㄟ ㄙㄨㄟˇ
剝膚錐髓	ㄅㄛ ㄈㄨ ㄓㄨㄟ ㄙㄨㄟˇ
剝離作用	ㄅㄛ ㄌㄧˊ ㄗㄨㄛˋ ㄩㄥˋ
剝落斑殘	ㄅㄛ ㄌㄨㄛˋ ㄅㄢ ㄘㄢˊ
剝極必復	ㄅㄛ ㄐㄧˊ ㄅㄧˋ ㄈㄨˋ
剝削小民	ㄅㄛ ㄒㄩㄝˋ ㄒㄧㄠˇ ㄇㄧㄣˊ
剝蝕作用	ㄅㄛ ㄕˊ ㄗㄨㄛˋ ㄩㄥˋ
剝一層皮	ㄅㄛ ㄧ ㄘㄥˊ ㄆㄧˊ
伯道之憂	ㄅㄛˊ ㄉㄠˋ ㄓ ㄧㄡ
伯道無兒	ㄅㄛˊ ㄉㄠˋ ㄨˊ ㄦˊ
伯樂一顧	ㄅㄛˊ ㄌㄜˋ ㄧ ㄍㄨˋ
伯勞飛燕	ㄅㄛˊ ㄌㄠˊ ㄈㄟ ㄧㄢˋ
伯歌季舞	ㄅㄛˊ ㄍㄜ ㄐㄧˋ ㄨˇ
伯克制度	ㄅㄛˊ ㄎㄜˋ ㄓˋ ㄉㄨˋ
柏吉斯法	ㄅㄛˊ ㄐㄧˊ ㄙ ㄈㄚˇ
伯喈倒屣	ㄅㄛˊ ㄐㄧㄝ ㄉㄠˋ ㄒㄧˇ
伯壎仲篪	ㄅㄛˊ ㄒㄩㄣ ㄓㄨㄥˋ ㄔˊ
伯仲叔季	ㄅㄛˊ ㄓㄨㄥˋ ㄕㄨˊ ㄐㄧˋ
伯舒拉嶺	ㄅㄛˊ ㄕㄨ ㄌㄚ ㄌㄧㄥˇ
伯恩斯坦	ㄅㄛˊ ㄣ ㄙ ㄊㄢˇ
伯夷叔齊	ㄅㄛˊ ㄧˊ ㄕㄨˊ ㄑㄧˊ
伯牙鼓琴	ㄅㄛˊ ㄧㄚˊ ㄍㄨˇ ㄑㄧㄣˊ
伯牙絕絃	ㄅㄛˊ ㄧㄚˊ ㄐㄩㄝˊ ㄒㄧㄢˊ
伯俞泣杖	ㄅㄛˊ ㄩˊ ㄑㄧˋ ㄓㄤˋ
伯雍種玉	ㄅㄛˊ ㄩㄥ ㄓㄨㄥˋ ㄩˋ
柏臺烏府	ㄅㄛˊ ㄊㄞˊ ㄨ ㄈㄨˇ
柏林大學	ㄅㄛˊ ㄌㄧㄣˊ ㄉㄚˋ ㄒㄩㄝˊ
柏林會議	ㄅㄛˊ ㄌㄧㄣˊ ㄏㄨㄟˋ ㄧˋ
柏林劇團	ㄅㄛˊ ㄌㄧㄣˊ ㄐㄩˋ ㄊㄨㄢˊ
柏林影展	ㄅㄛˊ ㄌㄧㄣˊ ㄧㄥˇ ㄓㄢˇ
柏林圍牆	ㄅㄛˊ ㄌㄧㄣˊ ㄨㄟˊ ㄑㄧㄤˊ
柏林樂派	ㄅㄛˊ ㄌㄧㄣˊ ㄩㄝˋ ㄆㄞˋ
柏吉烏斯	ㄅㄛˊ ㄐㄧˊ ㄨ ㄙ
柏舟之痛	ㄅㄛˊ ㄓㄡ ㄓ ㄊㄨㄥˋ
柏舟之節	ㄅㄛˊ ㄓㄡ ㄓ ㄐㄧㄝˊ
柏舟之誓	ㄅㄛˊ ㄓㄡ ㄓ ㄕˋ
