# MOE 《成語典》 government-sourced idiom lexicon. See README.md.
車水馬龍	ㄔㄜ ㄕㄨㄟˇ ㄇㄚˇ ㄌㄨㄥˊ
未雨綢繆	ㄨㄟˋ ㄩˇ ㄔㄡˊ ㄇㄡˊ
先發制人	ㄒㄧㄢ ㄈㄚ ㄓˋ ㄖㄣˊ
洛陽紙貴	ㄌㄨㄛˋ ㄧㄤˊ ㄓˇ ㄍㄨㄟˋ
孤陋寡聞	ㄍㄨ ㄌㄡˋ ㄍㄨㄚˇ ㄨㄣˊ
不共戴天	ㄅㄨˋ ㄍㄨㄥˋ ㄉㄞˋ ㄊㄧㄢ
滿腹經綸	ㄇㄢˇ ㄈㄨˋ ㄐㄧㄥ ㄌㄨㄣˊ
飲鴆止渴	ㄧㄣˇ ㄓㄣˋ ㄓˇ ㄎㄜˇ
退避三舍	ㄊㄨㄟˋ ㄅㄧˋ ㄙㄢ ㄕㄜˋ
世外桃源	ㄕˋ ㄨㄞˋ ㄊㄠˊ ㄩㄢˊ
剛愎自用	ㄍㄤ ㄅㄧˋ ㄗˋ ㄩㄥˋ
出爾反爾	ㄔㄨ ㄦˇ ㄈㄢˇ ㄦˇ
目不識丁	ㄇㄨˋ ㄅㄨˋ ㄕˋ ㄉㄧㄥ
水深火熱	ㄕㄨㄟˇ ㄕㄣ ㄏㄨㄛˇ ㄖㄜˋ
假公濟私	ㄐㄧㄚˇ ㄍㄨㄥ ㄐㄧˋ ㄙ
孤掌難鳴	ㄍㄨ ㄓㄤˇ ㄋㄢˊ ㄇㄧㄥˊ
偃旗息鼓	ㄧㄢˇ ㄑㄧˊ ㄒㄧˊ ㄍㄨˇ
妄自尊大	ㄨㄤˋ ㄗˋ ㄗㄨㄣ ㄉㄚˋ
百折不撓	ㄅㄞˇ ㄓㄜˊ ㄅㄨˋ ㄋㄠˊ
拾人牙慧	ㄕˊ ㄖㄣˊ ㄧㄚˊ ㄏㄨㄟˋ
耳濡目染	ㄦˇ ㄖㄨˊ ㄇㄨˋ ㄖㄢˇ
得心應手	ㄉㄜˊ ㄒㄧㄣ ㄧㄥˋ ㄕㄡˇ
乘風破浪	ㄔㄥˊ ㄈㄥ ㄆㄛˋ ㄌㄤˋ
杯水車薪	ㄅㄟ ㄕㄨㄟˇ ㄐㄩ ㄒㄧㄣ
車載斗量	ㄔㄜ ㄗㄞˋ ㄉㄡˇ ㄌㄧㄤˊ
滿城風雨	ㄇㄢˇ ㄔㄥˊ ㄈㄥ ㄩˇ
燃眉之急	ㄖㄢˊ ㄇㄟˊ ㄓ ㄐㄧˊ
言不由衷	ㄧㄢˊ ㄅㄨˋ ㄧㄡˊ ㄓㄨㄥ
敝帚自珍	ㄅㄧˋ ㄓㄡˇ ㄗˋ ㄓㄣ
兔死狗烹	ㄊㄨˋ ㄙˇ ㄍㄡˇ ㄆㄥ
拋磚引玉	ㄆㄠ ㄓㄨㄢ ㄧㄣˇ ㄩˋ
門庭若市	ㄇㄣˊ ㄊㄧㄥˊ ㄖㄨㄛˋ ㄕˋ
不倫不類	ㄅㄨˋ ㄌㄨㄣˊ ㄅㄨˋ ㄌㄟˋ
虎頭蛇尾	ㄏㄨˇ ㄊㄡˊ ㄕㄜˊ ㄨㄟˇ
空中樓閣	ㄎㄨㄥ ㄓㄨㄥ ㄌㄡˊ ㄍㄜˊ
天經地義	ㄊㄧㄢ ㄐㄧㄥ ㄉㄧˋ ㄧˋ
殺身成仁	ㄕㄚ ㄕㄣ ㄔㄥˊ ㄖㄣˊ
心猿意馬	ㄒㄧㄣ ㄩㄢˊ ㄧˋ ㄇㄚˇ
一視同仁	ㄧ ㄕˋ ㄊㄨㄥˊ ㄖㄣˊ
雪中送炭	ㄒㄩㄝˇ ㄓㄨㄥ ㄙㄨㄥˋ ㄊㄢˋ
甘拜下風	ㄍㄢ ㄅㄞˋ ㄒㄧㄚˋ ㄈㄥ
無地自容	ㄨˊ ㄉㄧˋ ㄗˋ ㄖㄨㄥˊ
群策群力	ㄑㄩㄣˊ ㄘㄜˋ ㄑㄩㄣˊ ㄌㄧˋ
過河拆橋	ㄍㄨㄛˋ ㄏㄜˊ ㄔㄞ ㄑㄧㄠˊ
有備無患	ㄧㄡˇ ㄅㄟˋ ㄨˊ ㄏㄨㄢˋ
裹足不前	ㄍㄨㄛˇ ㄗㄨˊ ㄅㄨˋ ㄑㄧㄢˊ
前倨後恭	ㄑㄧㄢˊ ㄐㄩˋ ㄏㄡˋ ㄍㄨㄥ
弄巧成拙	ㄋㄨㄥˋ ㄑㄧㄠˇ ㄔㄥˊ ㄓㄨㄛˊ
噤若寒蟬	ㄐㄧㄣˋ ㄖㄨㄛˋ ㄏㄢˊ ㄔㄢˊ
